SpeciesName,HerbariumCode,Source,Collector,RecordNumber,CollectionDay,CollectionMonth,CollectionYear,Country,Admin1,Admin2,Admin3,Locality,Longitude,Latitude,CoordUncertainty,LocationNotes,EcologyNotes,AnalysisNotes,Remove,CountyLevelOnly
Alnus incana,WIS,wisc_herb_scrape.R,"Matson, Robert A.",UWEC00189,23,7,1974,USA,Wisconsin,Rusk,Ladysmith,S of Ladysmith,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Pederson, Roger L.",UWEC00190,29,8,1977,USA,Wisconsin,Buffalo,,Tiffany Wildlife Area,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Becker, Sandra",UWEC00191,27,9,1978,USA,Wisconsin,Eau Claire,,Half Moon Lake,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Neste, C.",UWEC00192,23,4,1961,USA,Wisconsin,Eau Claire,,,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Betchkal, S.",UWEC00193,15,6,1996,USA,Wisconsin,Eau Claire,Augusta,About 4 mi. E of Augusta on Coon Fork Rd.,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Kunz, Helen F.",UWEC00194,30,8,1928,USA,Wisconsin,Eau Claire,,Swamp near the Eau Claire River,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Rohrer, Joseph R.",UWEC03307,9,8,2011,USA,Wisconsin,Eau Claire,Eau Claire,"City of Eau Claire, University of Wisconsin-Eau Claire, Putnam Park along drive near tamaracks.",0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Endris, Mark",UWGB10602,28,9,1980,USA,Wisconsin,Bayfield,Drummond,ANDERSON LAKE,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Fewless, Gary",UWGB10828,4,9,1982,USA,Wisconsin,Door,Baileys Harbor,TOFT,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,"Trick, Joel A.",UWGB11094,25,8,1982,USA,Wisconsin,Door,Baileys Harbor,RIDGES,0,0,,,,,,1
Alnus incana,WIS,wisc_herb_scrape.R,Exxon,UWGB12485,16,6,1977,USA,Wisconsin,Forest,Crandon,,0,0,,,,,,1
